member_title,member_url,pageid,source_articles,source_article_urls,root_categories,root_category_urls,categories_found_in
Alison Yarrington,https://en.wikipedia.org/wiki/Alison_Yarrington,62181389,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
Alistair Grant,https://en.wikipedia.org/wiki/Alistair_Grant,13522631,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
Alistair MacFarlane,https://en.wikipedia.org/wiki/Alistair_MacFarlane,29374304,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society | Category:Fellows of the Royal Society of Edinburgh
Alistair MacLeod,https://en.wikipedia.org/wiki/Alistair_MacLeod,61820,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Alister McLellan,https://en.wikipedia.org/wiki/Alister_McLellan,43478581,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Royal Society of New Zealand
All-Ukrainian Academy of Sciences,https://en.wikipedia.org/wiki/All-Ukrainian_Academy_of_Sciences,74088808,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:All-Ukrainian Academy of Sciences
Alla Horska,https://en.wikipedia.org/wiki/Alla_Horska,64423380,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:National Academy of Arts of Ukraine
Alla Sheffer,https://en.wikipedia.org/wiki/Alla_Sheffer,65835477,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Allan Alexander Maconochie,https://en.wikipedia.org/wiki/Allan_Alexander_Maconochie,54717452,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
Allan Balmain,https://en.wikipedia.org/wiki/Allan_Balmain,46885187,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society | Category:Fellows of the Royal Society of Edinburgh
Allan Basbaum,https://en.wikipedia.org/wiki/Allan_Basbaum,33657329,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the National Academy of Medicine | Category:Members of the United States National Academy of Sciences
Allan Blakeney,https://en.wikipedia.org/wiki/Allan_Blakeney,483813,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Allan Borodin,https://en.wikipedia.org/wiki/Allan_Borodin,2815449,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Allan C. Spradling,https://en.wikipedia.org/wiki/Allan_C._Spradling,24822497,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allan Carswell,https://en.wikipedia.org/wiki/Allan_Carswell,10369832,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Allan Gibbard,https://en.wikipedia.org/wiki/Allan_Gibbard,4465051,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allan H. MacDonald,https://en.wikipedia.org/wiki/Allan_H._MacDonald,38107945,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allan Hutchinson,https://en.wikipedia.org/wiki/Allan_Hutchinson,53408089,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Allan Kirk,https://en.wikipedia.org/wiki/Allan_Kirk,54592770,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Allan M. Brandt,https://en.wikipedia.org/wiki/Allan_M._Brandt,25556064,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Allan M. Campbell,https://en.wikipedia.org/wiki/Allan_M._Campbell,7603461,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allan M. Findlay,https://en.wikipedia.org/wiki/Allan_M._Findlay,67798980,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
Allan MacLeod Cormack,https://en.wikipedia.org/wiki/Allan_MacLeod_Cormack,883598,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the National Academy of Medicine | Category:Members of the United States National Academy of Sciences
Allan Marble,https://en.wikipedia.org/wiki/Allan_Marble,81063561,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Nova Scotia Historical Society
Allan McLane Hamilton,https://en.wikipedia.org/wiki/Allan_McLane_Hamilton,51495745,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
Allan Mullen,https://en.wikipedia.org/wiki/Allan_Mullen,34127725,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society
Allan Pettersson,https://en.wikipedia.org/wiki/Allan_Pettersson,1062960,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Royal Swedish Academy of Music
Allan R. Wagner,https://en.wikipedia.org/wiki/Allan_R._Wagner,4560856,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allan Ronald,https://en.wikipedia.org/wiki/Allan_Ronald,38067860,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Allan Rosenfield,https://en.wikipedia.org/wiki/Allan_Rosenfield,20032007,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Allan Snyder,https://en.wikipedia.org/wiki/Allan_Snyder,724626,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of Science | Category:Fellows of the Australian Academy of Technological Sciences and Engineering | Category:Fellows of the Royal Society
Allan V. Cox,https://en.wikipedia.org/wiki/Allan_V._Cox,1906396,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allen Dalzell,https://en.wikipedia.org/wiki/Allen_Dalzell,51308247,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
Allen F. Donovan,https://en.wikipedia.org/wiki/Allen_F._Donovan,61487212,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
Allen F. Jacobson,https://en.wikipedia.org/wiki/Allen_F._Jacobson,71651065,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
Allen Goldman,https://en.wikipedia.org/wiki/Allen_Goldman,71265786,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allen Hill (scientist),https://en.wikipedia.org/wiki/Allen_Hill_(scientist),36594301,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society
Allen J. Bard,https://en.wikipedia.org/wiki/Allen_J._Bard,18333921,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allen J. Scott,https://en.wikipedia.org/wiki/Allen_J._Scott,7717848,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
Allen Kerr (biologist),https://en.wikipedia.org/wiki/Allen_Kerr_(biologist),11371107,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of Science
Allen Mawer,https://en.wikipedia.org/wiki/Allen_Mawer,61637113,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
Allen Newell,https://en.wikipedia.org/wiki/Allen_Newell,287300,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Allen Shenstone,https://en.wikipedia.org/wiki/Allen_Shenstone,33818059,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society
Allen Thomson,https://en.wikipedia.org/wiki/Allen_Thomson,34731769,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
"Allergy, Asthma & Immunology Research","https://en.wikipedia.org/wiki/Allergy,_Asthma_&_Immunology_Research",61909715,Learned society,https://en.wikipedia.org/wiki/Learned_society,Category:Learned societies,https://en.wikipedia.org/wiki/Category:Learned_societies,Category:Academic journals published by learned and professional societies
Alliance of Digital Humanities Organizations,https://en.wikipedia.org/wiki/Alliance_of_Digital_Humanities_Organizations,27988206,Learned society,https://en.wikipedia.org/wiki/Learned_society,Category:Learned societies,https://en.wikipedia.org/wiki/Category:Learned_societies,Category:History organizations
Allied Social Science Associations,https://en.wikipedia.org/wiki/Allied_Social_Science_Associations,8617366,Learned society,https://en.wikipedia.org/wiki/Learned_society,Category:Learned societies,https://en.wikipedia.org/wiki/Category:Learned_societies,Category:Economics societies
Allison Brashear,https://en.wikipedia.org/wiki/Allison_Brashear,65915868,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Allison Morris,https://en.wikipedia.org/wiki/Allison_Morris,68323751,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Royal Society of New Zealand
Allvar Gullstrand,https://en.wikipedia.org/wiki/Allvar_Gullstrand,240197,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Swedish Academy of Sciences
Alma Mater Europaea,https://en.wikipedia.org/wiki/Alma_Mater_Europaea,34821617,Learned society,https://en.wikipedia.org/wiki/Learned_society,Category:Learned societies,https://en.wikipedia.org/wiki/Category:Learned_societies,Category:Academies of sciences | Category:International academies
Alma Y. Alanís,https://en.wikipedia.org/wiki/Alma_Y._Alanís,72598166,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Mexican Academy of Sciences
Almir Badnjević,https://en.wikipedia.org/wiki/Almir_Badnjević,78940374,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Academy of Sciences and Arts of Bosnia and Herzegovina | Category:Members of the European Academy of Sciences and Arts
Almroth Wright,https://en.wikipedia.org/wiki/Almroth_Wright,1437618,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Royal Society | Category:Members of the French Academy of Sciences
Almut Hintze,https://en.wikipedia.org/wiki/Almut_Hintze,57804624,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
Alois Fürstner,https://en.wikipedia.org/wiki/Alois_Fürstner,58967959,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the German National Academy of Sciences Leopoldina
Alois Glück,https://en.wikipedia.org/wiki/Alois_Glück,6280814,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the European Academy of Sciences and Arts
Alojz Benac,https://en.wikipedia.org/wiki/Alojz_Benac,44931325,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Academy of Sciences and Arts of Bosnia and Herzegovina
Alojz Gradnik,https://en.wikipedia.org/wiki/Alojz_Gradnik,15577624,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Slovenian Academy of Sciences and Arts
Alojz Rebula,https://en.wikipedia.org/wiki/Alojz_Rebula,16745219,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Slovenian Academy of Sciences and Arts
Alojz Uran,https://en.wikipedia.org/wiki/Alojz_Uran,13054513,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the European Academy of Sciences and Arts
Alok Bhattacharya,https://en.wikipedia.org/wiki/Alok_Bhattacharya,51906406,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Indian National Science Academy
Alok Krishna Gupta,https://en.wikipedia.org/wiki/Alok_Krishna_Gupta,52633686,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Indian National Science Academy
Alondra Nelson,https://en.wikipedia.org/wiki/Alondra_Nelson,24979702,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Alonzo Smythe Yerby,https://en.wikipedia.org/wiki/Alonzo_Smythe_Yerby,56588555,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Aloys Fleischmann,https://en.wikipedia.org/wiki/Aloys_Fleischmann,5503703,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Royal Irish Academy
Alpheus Hyatt,https://en.wikipedia.org/wiki/Alpheus_Hyatt,2021371,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Alpheus Todd,https://en.wikipedia.org/wiki/Alpheus_Todd,4833401,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Alphonse Balat,https://en.wikipedia.org/wiki/Alphonse_Balat,10258626,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,"Category:Members of the Royal Academy of Science, Letters and Fine Arts of Belgium"
Alphonse Le Roy,https://en.wikipedia.org/wiki/Alphonse_Le_Roy,63447489,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,"Category:Members of the Royal Academy of Science, Letters and Fine Arts of Belgium"
Alphonse Pyramus de Candolle,https://en.wikipedia.org/wiki/Alphonse_Pyramus_de_Candolle,3485260,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Netherlands Academy of Arts and Sciences | Category:Members of the Royal Society of Sciences in Uppsala | Category:Members of the Royal Swedish Academy of Sciences
Alphonse Roersch,https://en.wikipedia.org/wiki/Alphonse_Roersch,58738840,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,"Category:Members of the Royal Academy of Science, Letters and Fine Arts of Belgium"
Alphonse Wauters,https://en.wikipedia.org/wiki/Alphonse_Wauters,48810737,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,"Category:Members of the Royal Academy of Science, Letters and Fine Arts of Belgium"
Alphonse-Marie Parent,https://en.wikipedia.org/wiki/Alphonse-Marie_Parent,1910776,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Canada
Alta Charo,https://en.wikipedia.org/wiki/Alta_Charo,22072215,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Alta Schutte,https://en.wikipedia.org/wiki/Alta_Schutte,68712528,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of Health and Medical Sciences
Alton Meister,https://en.wikipedia.org/wiki/Alton_Meister,13268088,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Alun Davies (biologist),https://en.wikipedia.org/wiki/Alun_Davies_(biologist),34376378,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Royal Society of Edinburgh
"Alun Gwynne Jones, Baron Chalfont","https://en.wikipedia.org/wiki/Alun_Gwynne_Jones,_Baron_Chalfont",2127172,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Aluísio Azevedo,https://en.wikipedia.org/wiki/Aluísio_Azevedo,482805,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Brazilian Academy of Letters
Alv Egeland,https://en.wikipedia.org/wiki/Alv_Egeland,24892088,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Norwegian Academy of Science and Letters
Alv Kragerud,https://en.wikipedia.org/wiki/Alv_Kragerud,30392097,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Norwegian Academy of Science and Letters
Alvan Feinstein,https://en.wikipedia.org/wiki/Alvan_Feinstein,20422911,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Alvar Ellegård,https://en.wikipedia.org/wiki/Alvar_Ellegård,7761376,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,"Category:Members of the Royal Swedish Academy of Letters, History and Antiquities"
Alvin E. Roth,https://en.wikipedia.org/wiki/Alvin_E._Roth,18166140,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Alvin Ingram,https://en.wikipedia.org/wiki/Alvin_Ingram,44870708,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the National Academy of Medicine
Alvin Jackson (historian),https://en.wikipedia.org/wiki/Alvin_Jackson_(historian),62129409,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the British Academy
Alvin Liberman,https://en.wikipedia.org/wiki/Alvin_Liberman,8146465,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Alvin M. Weinberg,https://en.wikipedia.org/wiki/Alvin_M._Weinberg,5358212,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Alvy Ray Smith,https://en.wikipedia.org/wiki/Alvy_Ray_Smith,2132353,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
Alwin Max Pappenheimer Jr.,https://en.wikipedia.org/wiki/Alwin_Max_Pappenheimer_Jr.,34329867,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the United States National Academy of Sciences
Alwyn Jones (biophysicist),https://en.wikipedia.org/wiki/Alwyn_Jones_(biophysicist),13972884,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Royal Swedish Academy of Sciences
Alwyn Williams (geologist),https://en.wikipedia.org/wiki/Alwyn_Williams_(geologist),25484011,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Royal Irish Academy
Amable Liñán,https://en.wikipedia.org/wiki/Amable_Liñán,53763419,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the United States National Academy of Engineering
Amadou-Mahtar M'Bow,https://en.wikipedia.org/wiki/Amadou-Mahtar_M'Bow,3085717,Academy of sciences | National academy,https://en.wikipedia.org/wiki/Academy_of_sciences | https://en.wikipedia.org/wiki/National_academy,Category:National academies | Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies | https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Members of the Academy of the Kingdom of Morocco
Amalendu Chandra,https://en.wikipedia.org/wiki/Amalendu_Chandra,52463737,Academy of sciences,https://en.wikipedia.org/wiki/Academy_of_sciences,Category:National academies of sciences,https://en.wikipedia.org/wiki/Category:National_academies_of_sciences,Category:Fellows of the Indian National Science Academy
Amalia Lindegren,https://en.wikipedia.org/wiki/Amalia_Lindegren,14659666,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Members of the Royal Swedish Academy of Arts
Amanda Lynch,https://en.wikipedia.org/wiki/Amanda_Lynch,53467438,National academy,https://en.wikipedia.org/wiki/National_academy,Category:National academies,https://en.wikipedia.org/wiki/Category:National_academies,Category:Fellows of the Australian Academy of Technological Sciences and Engineering
